time (s),mod_out_sampled (V)
200.6E-9,1.200
201.9E-9,1.200
203.1E-9,-1.200
204.4E-9,1.200
205.6E-9,1.200
206.9E-9,-1.200
208.1E-9,1.200
209.4E-9,1.200
210.6E-9,-1.200
211.9E-9,1.200
213.1E-9,1.200
214.4E-9,1.200
215.6E-9,-1.200
216.9E-9,1.200
218.1E-9,1.200
219.4E-9,-1.200
220.6E-9,1.200
221.9E-9,1.200
223.1E-9,-1.200
224.4E-9,1.200
225.6E-9,1.200
226.9E-9,1.200
228.1E-9,-1.200
229.4E-9,1.200
230.6E-9,-1.200
231.9E-9,1.200
233.1E-9,1.200
234.4E-9,1.200
235.6E-9,1.200
236.9E-9,-1.200
238.1E-9,1.200
239.4E-9,-1.200
240.6E-9,1.200
241.9E-9,1.200
243.1E-9,1.200
244.4E-9,1.200
245.6E-9,-1.200
246.9E-9,1.200
248.1E-9,-1.200
249.4E-9,1.200
250.6E-9,1.200
251.9E-9,1.200
253.1E-9,-1.200
254.4E-9,1.200
255.6E-9,1.200
256.9E-9,1.200
258.1E-9,-1.200
259.4E-9,1.200
260.6E-9,1.200
261.9E-9,-1.200
263.1E-9,1.200
264.4E-9,1.200
265.6E-9,1.200
266.9E-9,-1.200
268.1E-9,1.200
269.4E-9,1.200
270.6E-9,1.200
271.9E-9,-1.200
273.1E-9,1.200
274.4E-9,1.200
275.6E-9,-1.200
276.9E-9,1.200
278.1E-9,1.200
279.4E-9,1.200
280.6E-9,-1.200
281.9E-9,1.200
283.1E-9,1.200
284.4E-9,-1.200
285.6E-9,1.200
286.9E-9,1.200
288.1E-9,1.200
289.4E-9,-1.200
290.6E-9,1.200
291.9E-9,1.200
293.1E-9,1.200
294.4E-9,-1.200
295.6E-9,1.200
296.9E-9,1.200
298.1E-9,1.200
299.4E-9,-1.200
300.6E-9,1.200
301.9E-9,1.200
303.1E-9,-1.200
304.4E-9,1.200
305.6E-9,1.200
306.9E-9,1.200
308.1E-9,-1.200
309.4E-9,1.200
310.6E-9,1.200
311.9E-9,1.200
313.1E-9,-1.200
314.4E-9,1.200
315.6E-9,1.200
316.9E-9,1.200
318.1E-9,-1.200
319.4E-9,1.200
320.6E-9,1.200
321.9E-9,1.200
323.1E-9,-1.200
324.4E-9,1.200
325.6E-9,1.200
326.9E-9,-1.200
328.1E-9,1.200
329.4E-9,1.200
330.6E-9,1.200
331.9E-9,1.200
333.1E-9,-1.200
334.4E-9,1.200
335.6E-9,1.200
336.9E-9,-1.200
338.1E-9,1.200
339.4E-9,1.200
340.6E-9,1.200
341.9E-9,-1.200
343.1E-9,1.200
344.4E-9,1.200
345.6E-9,1.200
346.9E-9,-1.200
348.1E-9,1.200
349.4E-9,1.200
350.6E-9,1.200
351.9E-9,-1.200
353.1E-9,1.200
354.4E-9,1.200
355.6E-9,1.200
356.9E-9,-1.200
358.1E-9,1.200
359.4E-9,1.200
360.6E-9,-1.200
361.9E-9,1.200
363.1E-9,1.200
364.4E-9,1.200
365.6E-9,1.200
366.9E-9,-1.200
368.1E-9,1.200
369.4E-9,1.200
370.6E-9,-1.200
371.9E-9,1.200
373.1E-9,1.200
374.4E-9,1.200
375.6E-9,1.200
376.9E-9,-1.200
378.1E-9,1.200
379.4E-9,1.200
380.6E-9,-1.200
381.9E-9,1.200
383.1E-9,1.200
384.4E-9,1.200
385.6E-9,-1.200
386.9E-9,1.200
388.1E-9,1.200
389.4E-9,1.200
390.6E-9,-1.200
391.9E-9,1.200
393.1E-9,1.200
394.4E-9,1.200
395.6E-9,-1.200
396.9E-9,1.200
398.1E-9,1.200
399.4E-9,-1.200
400.6E-9,1.200
401.9E-9,1.200
403.1E-9,1.200
404.4E-9,1.200
405.6E-9,-1.200
406.9E-9,1.200
408.1E-9,1.200
409.4E-9,-1.200
410.6E-9,1.200
411.9E-9,1.200
413.1E-9,1.200
414.4E-9,-1.200
415.6E-9,1.200
416.9E-9,1.200
418.1E-9,1.200
419.4E-9,-1.200
420.6E-9,1.200
421.9E-9,1.200
423.1E-9,1.200
424.4E-9,-1.200
425.6E-9,1.200
426.9E-9,1.200
428.1E-9,-1.200
429.4E-9,1.200
430.6E-9,1.200
431.9E-9,1.200
433.1E-9,-1.200
434.4E-9,1.200
435.6E-9,1.200
436.9E-9,1.200
438.1E-9,-1.200
439.4E-9,1.200
440.6E-9,1.200
441.9E-9,1.200
443.1E-9,-1.200
444.4E-9,1.200
445.6E-9,1.200
446.9E-9,-1.200
448.1E-9,1.200
449.4E-9,1.200
450.6E-9,1.200
451.9E-9,-1.200
453.1E-9,1.200
454.4E-9,1.200
455.6E-9,-1.200
456.9E-9,1.200
458.1E-9,1.200
459.4E-9,1.200
460.6E-9,-1.200
461.9E-9,1.200
463.1E-9,1.200
464.4E-9,1.200
465.6E-9,-1.200
466.9E-9,1.200
468.1E-9,1.200
469.4E-9,-1.200
470.6E-9,1.200
471.9E-9,1.200
473.1E-9,-1.200
474.4E-9,1.200
475.6E-9,1.200
476.9E-9,1.200
478.1E-9,-1.200
479.4E-9,1.200
480.6E-9,1.200
481.9E-9,1.200
483.1E-9,-1.200
484.4E-9,1.200
485.6E-9,1.200
486.9E-9,-1.200
488.1E-9,1.200
489.4E-9,1.200
490.6E-9,-1.200
491.9E-9,1.200
493.1E-9,1.200
494.4E-9,1.200
495.6E-9,-1.200
496.9E-9,1.200
498.1E-9,1.200
499.4E-9,-1.200
500.6E-9,1.200
501.9E-9,1.200
503.1E-9,1.200
504.4E-9,-1.200
505.6E-9,1.200
506.9E-9,-1.200
508.1E-9,1.200
509.4E-9,1.200
510.6E-9,1.200
511.9E-9,-1.200
513.1E-9,1.200
514.4E-9,1.200
515.6E-9,-1.200
516.9E-9,1.200
518.1E-9,1.200
519.4E-9,1.200
520.6E-9,-1.200
521.9E-9,1.200
523.1E-9,-1.200
524.4E-9,1.200
525.6E-9,1.200
526.9E-9,1.200
528.1E-9,-1.200
529.4E-9,1.200
530.6E-9,1.200
531.9E-9,-1.200
533.1E-9,1.200
534.4E-9,-1.200
535.6E-9,1.200
536.9E-9,1.200
538.1E-9,1.200
539.4E-9,-1.200
540.6E-9,1.200
541.9E-9,1.200
543.1E-9,-1.200
544.4E-9,1.200
545.6E-9,1.200
546.9E-9,-1.200
548.1E-9,1.200
549.4E-9,1.200
550.6E-9,-1.200
551.9E-9,1.200
553.1E-9,1.200
554.4E-9,-1.200
555.6E-9,1.200
556.9E-9,1.200
558.1E-9,-1.200
559.4E-9,1.200
560.6E-9,1.200
561.9E-9,-1.200
563.1E-9,1.200
564.4E-9,-1.200
565.6E-9,1.200
566.9E-9,1.200
568.1E-9,-1.200
569.4E-9,1.200
570.6E-9,1.200
571.9E-9,1.200
573.1E-9,-1.200
574.4E-9,1.200
575.6E-9,-1.200
576.9E-9,1.200
578.1E-9,1.200
579.4E-9,-1.200
580.6E-9,1.200
581.9E-9,-1.200
583.1E-9,1.200
584.4E-9,1.200
585.6E-9,1.200
586.9E-9,-1.200
588.1E-9,1.200
589.4E-9,-1.200
590.6E-9,1.200
591.9E-9,1.200
593.1E-9,-1.200
594.4E-9,1.200
595.6E-9,-1.200
596.9E-9,1.200
598.1E-9,1.200
599.4E-9,-1.200
600.6E-9,1.200
601.9E-9,1.200
603.1E-9,-1.200
604.4E-9,1.200
605.6E-9,-1.200
606.9E-9,1.200
608.1E-9,1.200
609.4E-9,-1.200
610.6E-9,1.200
611.9E-9,-1.200
613.1E-9,1.200
614.4E-9,1.200
615.6E-9,-1.200
616.9E-9,1.200
618.1E-9,1.200
619.4E-9,-1.200
620.6E-9,1.200
621.9E-9,-1.200
623.1E-9,1.200
624.4E-9,-1.200
625.6E-9,1.200
626.9E-9,1.200
628.1E-9,-1.200
629.4E-9,1.200
630.6E-9,-1.200
631.9E-9,1.200
633.1E-9,1.200
634.4E-9,-1.200
635.6E-9,1.200
636.9E-9,-1.200
638.1E-9,1.200
639.4E-9,1.200
640.6E-9,-1.200
641.9E-9,1.200
643.1E-9,-1.200
644.4E-9,1.200
645.6E-9,-1.200
646.9E-9,1.200
648.1E-9,1.200
649.4E-9,-1.200
650.6E-9,1.200
651.9E-9,-1.200
653.1E-9,1.200
654.4E-9,-1.200
655.6E-9,1.200
656.9E-9,1.200
658.1E-9,-1.200
659.4E-9,1.200
660.6E-9,-1.200
661.9E-9,1.200
663.1E-9,-1.200
664.4E-9,1.200
665.6E-9,1.200
666.9E-9,-1.200
668.1E-9,1.200
669.4E-9,-1.200
670.6E-9,1.200
671.9E-9,-1.200
673.1E-9,1.200
674.4E-9,-1.200
675.6E-9,1.200
676.9E-9,-1.200
678.1E-9,1.200
679.4E-9,-1.200
680.6E-9,1.200
681.9E-9,1.200
683.1E-9,-1.200
684.4E-9,1.200
685.6E-9,-1.200
686.9E-9,1.200
688.1E-9,-1.200
689.4E-9,1.200
690.6E-9,-1.200
691.9E-9,1.200
693.1E-9,-1.200
694.4E-9,1.200
695.6E-9,-1.200
696.9E-9,1.200
698.1E-9,-1.200
699.4E-9,1.200
700.6E-9,1.200
701.9E-9,-1.200
703.1E-9,-1.200
704.4E-9,1.200
705.6E-9,1.200
706.9E-9,-1.200
708.1E-9,1.200
709.4E-9,-1.200
710.6E-9,-1.200
711.9E-9,1.200
713.1E-9,-1.200
714.4E-9,1.200
715.6E-9,1.200
716.9E-9,-1.200
718.1E-9,1.200
719.4E-9,-1.200
720.6E-9,1.200
721.9E-9,-1.200
723.1E-9,-1.200
724.4E-9,1.200
725.6E-9,-1.200
726.9E-9,1.200
728.1E-9,1.200
729.4E-9,-1.200
730.6E-9,1.200
731.9E-9,-1.200
733.1E-9,-1.200
734.4E-9,1.200
735.6E-9,-1.200
736.9E-9,1.200
738.1E-9,-1.200
739.4E-9,1.200
740.6E-9,-1.200
741.9E-9,1.200
743.1E-9,-1.200
744.4E-9,1.200
745.6E-9,-1.200
746.9E-9,1.200
748.1E-9,-1.200
749.4E-9,1.200
750.6E-9,-1.200
751.9E-9,1.200
753.1E-9,-1.200
754.4E-9,-1.200
755.6E-9,1.200
756.9E-9,-1.200
758.1E-9,1.200
759.4E-9,-1.200
760.6E-9,1.200
761.9E-9,-1.200
763.1E-9,1.200
764.4E-9,-1.200
765.6E-9,-1.200
766.9E-9,1.200
768.1E-9,-1.200
769.4E-9,1.200
770.6E-9,-1.200
771.9E-9,1.200
773.1E-9,-1.200
774.4E-9,1.200
775.6E-9,-1.200
776.9E-9,1.200
778.1E-9,-1.200
779.4E-9,-1.200
780.6E-9,1.200
781.9E-9,-1.200
783.1E-9,1.200
784.4E-9,-1.200
785.6E-9,-1.200
786.9E-9,1.200
788.1E-9,-1.200
789.4E-9,1.200
790.6E-9,-1.200
791.9E-9,1.200
793.1E-9,-1.200
794.4E-9,1.200
795.6E-9,-1.200
796.9E-9,-1.200
798.1E-9,1.200
799.4E-9,-1.200
800.6E-9,-1.200
801.9E-9,1.200
803.1E-9,-1.200
804.4E-9,1.200
805.6E-9,-1.200
806.9E-9,1.200
808.1E-9,-1.200
809.4E-9,-1.200
810.6E-9,1.200
811.9E-9,-1.200
813.1E-9,1.200
814.4E-9,-1.200
815.6E-9,-1.200
816.9E-9,1.200
818.1E-9,-1.200
819.4E-9,1.200
820.6E-9,-1.200
821.9E-9,-1.200
823.1E-9,1.200
824.4E-9,-1.200
825.6E-9,-1.200
826.9E-9,1.200
828.1E-9,-1.200
829.4E-9,1.200
830.6E-9,-1.200
831.9E-9,1.200
833.1E-9,-1.200
834.4E-9,-1.200
835.6E-9,-1.200
836.9E-9,1.200
838.1E-9,-1.200
839.4E-9,1.200
840.6E-9,-1.200
841.9E-9,1.200
843.1E-9,-1.200
844.4E-9,-1.200
845.6E-9,-1.200
846.9E-9,1.200
848.1E-9,-1.200
849.4E-9,1.200
850.6E-9,-1.200
851.9E-9,-1.200
853.1E-9,1.200
854.4E-9,-1.200
855.6E-9,1.200
856.9E-9,-1.200
858.1E-9,-1.200
859.4E-9,-1.200
860.6E-9,1.200
861.9E-9,-1.200
863.1E-9,1.200
864.4E-9,-1.200
865.6E-9,-1.200
866.9E-9,1.200
868.1E-9,-1.200
869.4E-9,-1.200
870.6E-9,1.200
871.9E-9,-1.200
873.1E-9,-1.200
874.4E-9,1.200
875.6E-9,-1.200
876.9E-9,1.200
878.1E-9,-1.200
879.4E-9,-1.200
880.6E-9,-1.200
881.9E-9,1.200
883.1E-9,-1.200
884.4E-9,-1.200
885.6E-9,1.200
886.9E-9,-1.200
888.1E-9,1.200
889.4E-9,-1.200
890.6E-9,-1.200
891.9E-9,-1.200
893.1E-9,1.200
894.4E-9,-1.200
895.6E-9,-1.200
896.9E-9,1.200
898.1E-9,-1.200
899.4E-9,-1.200
900.6E-9,1.200
901.9E-9,-1.200
903.1E-9,-1.200
904.4E-9,1.200
905.6E-9,-1.200
906.9E-9,-1.200
908.1E-9,1.200
909.4E-9,-1.200
910.6E-9,-1.200
911.9E-9,1.200
913.1E-9,-1.200
914.4E-9,-1.200
915.6E-9,1.200
916.9E-9,-1.200
918.1E-9,-1.200
919.4E-9,-1.200
920.6E-9,1.200
921.9E-9,-1.200
923.1E-9,-1.200
924.4E-9,1.200
925.6E-9,-1.200
926.9E-9,-1.200
928.1E-9,1.200
929.4E-9,-1.200
930.6E-9,-1.200
931.9E-9,1.200
933.1E-9,-1.200
934.4E-9,-1.200
935.6E-9,-1.200
936.9E-9,1.200
938.1E-9,-1.200
939.4E-9,-1.200
940.6E-9,1.200
941.9E-9,-1.200
943.1E-9,-1.200
944.4E-9,1.200
945.6E-9,-1.200
946.9E-9,-1.200
948.1E-9,-1.200
949.4E-9,1.200
950.6E-9,-1.200
951.9E-9,-1.200
953.1E-9,1.200
954.4E-9,-1.200
955.6E-9,-1.200
956.9E-9,-1.200
958.1E-9,1.200
959.4E-9,-1.200
960.6E-9,-1.200
961.9E-9,1.200
963.1E-9,-1.200
964.4E-9,-1.200
965.6E-9,-1.200
966.9E-9,1.200
968.1E-9,-1.200
969.4E-9,-1.200
970.6E-9,-1.200
971.9E-9,1.200
973.1E-9,-1.200
974.4E-9,-1.200
975.6E-9,1.200
976.9E-9,-1.200
978.1E-9,-1.200
979.4E-9,1.200
980.6E-9,-1.200
981.9E-9,-1.200
983.1E-9,-1.200
984.4E-9,1.200
985.6E-9,-1.200
986.9E-9,-1.200
988.1E-9,-1.200
989.4E-9,1.200
990.6E-9,-1.200
991.9E-9,-1.200
993.1E-9,1.200
994.4E-9,-1.200
995.6E-9,-1.200
996.9E-9,-1.200
998.1E-9,-1.200
999.4E-9,1.200
1.001E-6,-1.200
1.002E-6,-1.200
1.003E-6,1.200
1.004E-6,-1.200
1.006E-6,-1.200
1.007E-6,1.200
1.008E-6,-1.200
1.009E-6,-1.200
1.011E-6,-1.200
1.012E-6,-1.200
1.013E-6,1.200
1.014E-6,-1.200
1.016E-6,-1.200
1.017E-6,1.200
1.018E-6,-1.200
1.019E-6,-1.200
1.021E-6,-1.200
1.022E-6,1.200
1.023E-6,-1.200
1.024E-6,-1.200
1.026E-6,1.200
1.027E-6,-1.200
1.028E-6,-1.200
